id,product_id,quantity
1,1,11
2,2,11
3,3,11
4,4,11
5,5,11
6,6,11
7,7,11
8,8,12
9,9,11
10,10,11
11,11,11
12,12,11
13,13,11
14,14,11
15,15,11
16,16,11
17,17,11
18,18,11
19,19,11
20,20,11
21,21,11
22,22,11
23,23,11
24,24,11
25,25,12
26,26,11
27,27,11
28,28,11
29,29,11
30,30,11
31,31,11
32,32,11
33,33,11
34,34,12
35,35,11
36,36,11
37,37,11
38,38,11
39,39,11
40,40,12
41,41,11
42,42,11
43,43,11
44,44,11
45,45,11
46,46,11
47,47,23
48,48,11
49,49,11
50,50,11
51,51,11
52,52,11
53,53,11
54,54,11
55,55,11
56,56,11
57,57,11
58,58,11
59,59,11
60,60,11
61,61,11
62,62,11
63,63,11
64,64,11
65,65,11
66,66,11
67,67,11
68,68,11
69,69,12
70,70,11
71,71,11
72,72,11
73,73,11
74,74,11
75,75,11
76,76,11
77,77,11
78,78,13
79,79,11
80,80,11
81,81,11
82,82,11
83,83,11
84,84,11
85,85,11
86,86,11
87,87,11
88,88,11
89,89,11
90,90,11
91,91,11
92,92,11
93,93,12
94,94,11
95,95,11
96,96,11
97,97,11
98,98,11
99,99,11
100,100,11
101,101,11
102,102,11
103,103,12
104,104,11
105,105,11
106,106,11
107,107,11
108,108,11
109,109,11
110,110,11
111,111,11
112,112,12
113,113,12
114,114,11
115,115,12
116,116,11
117,117,11
118,118,12
119,119,11
120,120,11
121,121,11
122,122,11
123,123,11
124,124,11
125,125,11
126,126,11
127,127,11
128,128,11
129,129,11
130,130,11
131,131,11
132,132,11
133,133,11
134,134,11
135,135,11
136,136,11
137,137,11
138,138,11
139,139,11
140,140,11
141,141,11
142,142,11
143,143,11
144,144,11
145,145,11
146,146,11
147,147,11
148,148,11
149,149,11
150,150,11
151,151,11
152,152,13
153,153,11
154,154,11
155,155,11
156,156,11
157,157,11
158,158,11
159,159,11
160,160,11
161,161,11
162,162,11
163,163,11
164,164,11
165,165,11
166,166,11
167,167,11
168,168,12
169,169,11
170,170,11
171,171,11
172,172,11
173,173,11
174,174,11
175,175,11
176,176,14
177,177,11
178,178,11
179,179,11
180,180,11
181,181,11
182,182,11
183,183,11
184,184,11
185,185,11
186,186,11
187,187,11
188,188,12
189,189,11
190,190,11
191,191,11
192,192,11
193,193,11
194,194,11
195,195,13
196,196,11
197,197,11
198,198,11
199,199,11
200,200,11
201,201,11
202,202,11
203,203,12
204,204,11
205,205,11
206,206,12
207,207,11
208,208,11
209,209,11
210,210,11
211,211,11
212,212,15
213,213,23
214,214,11
215,215,11
216,216,11
217,217,11
218,218,11
219,219,11
220,220,11
221,221,11
222,222,11
223,223,11
224,224,11
225,225,11
226,226,11
227,227,12
228,228,11
229,229,11
230,230,11
231,231,11
232,232,11
233,233,11
234,234,11
235,235,11
236,236,11
237,237,11
238,238,11
239,239,11
240,240,11
241,241,11
242,242,11
243,243,11
244,244,11
245,245,11
246,246,11
247,247,11
248,248,11
249,249,11
250,250,11
251,251,11
252,252,13
253,253,11
254,254,11
255,255,11
256,256,11
257,257,11
258,258,11
259,259,11
260,260,14
261,261,11
262,262,15
263,263,11
264,264,11
265,265,15
266,266,11
267,267,11
268,268,11
269,269,12
270,270,11
271,271,14
272,272,11
273,273,11
274,274,11
275,275,11
276,276,11
277,277,14
278,278,11
279,279,11
280,280,11
281,281,11
282,282,11
283,283,11
284,284,11
285,285,11
286,286,11
287,287,11
288,288,11
289,289,12
290,290,29
291,291,11
292,292,11
293,293,11
294,294,11
295,295,11
296,296,13
297,297,11
298,298,11
299,299,11
300,300,11
301,301,12
302,302,11
303,303,11
304,304,11
305,305,11
306,306,11
307,307,11
308,308,11
309,309,11
310,310,15
311,311,11
312,312,11
313,313,11
314,314,11
315,315,11
316,316,11
317,317,11
318,318,11
319,319,11
320,320,11
321,321,11
322,322,11
323,323,11
324,324,11
325,325,11
326,326,11
327,327,11
328,328,11
329,329,11
330,330,11
331,331,11
332,332,11
333,333,12
334,334,11
335,335,11
336,336,11
337,337,11
338,338,11
339,339,11
340,340,12
341,341,11
342,342,11
343,343,11
344,344,11
345,345,11
346,346,11
347,347,11
348,348,11
349,349,11
350,350,11
351,351,11
352,352,11
353,353,11
354,354,11
355,355,11
356,356,13
357,357,11
358,358,12
359,359,11
360,360,11
361,361,11
362,362,11
363,363,11
364,364,11
365,365,11
366,366,12
367,367,13
368,368,11
369,369,11
370,370,11
371,371,11
372,372,11
373,373,11
374,374,11
375,375,11
376,376,11
377,377,11
378,378,11
379,379,14
380,380,11
381,381,14
382,382,11
383,383,11
384,384,11
385,385,11
386,386,11
387,387,11
388,388,16
389,389,11
390,390,13
391,391,11
392,392,11
393,393,11
394,394,11
395,395,12
396,396,11
397,397,12
398,398,11
399,399,11
400,400,11
401,401,11
402,402,11
403,403,11
404,404,12
405,405,11
406,406,11
407,407,11
408,408,11
409,409,11
410,410,11
411,411,11
412,412,11
413,413,11
414,414,11
415,415,11
416,416,11
417,417,11
418,418,11
419,419,11
420,420,11
421,421,11
422,422,12
423,423,11
424,424,11
425,425,12
426,426,11
427,427,11
428,428,11
429,429,11
430,430,11
431,431,11
