id,product_id,quantity,type,created_at
1,1,12,PURCHASE,2018-04-30 17:33:54
2,2,12,PURCHASE,2018-02-06 19:11:15
3,3,12,PURCHASE,2018-07-11 21:30:20
4,4,12,PURCHASE,2018-08-07 09:10:13
5,5,12,PURCHASE,2018-04-17 01:30:23
6,6,12,PURCHASE,2018-03-19 15:48:29
7,7,13,PURCHASE,2017-12-11 11:30:51
8,8,21,PURCHASE,2017-11-30 14:53:01
9,9,12,PURCHASE,2017-06-21 07:10:06
10,10,12,PURCHASE,2017-09-28 04:10:11
11,11,15,PURCHASE,2018-02-09 12:29:52
12,12,13,PURCHASE,2018-04-27 16:31:18
13,13,12,PURCHASE,2018-06-20 11:15:30
14,14,12,PURCHASE,2017-07-20 23:03:39
15,15,12,PURCHASE,2018-06-28 13:30:46
16,16,12,PURCHASE,2017-06-08 20:10:13
17,17,13,PURCHASE,2017-11-23 21:31:31
18,18,12,PURCHASE,2017-05-31 18:35:17
19,19,13,PURCHASE,2017-10-20 12:46:10
20,20,13,PURCHASE,2018-06-29 14:57:15
21,21,14,PURCHASE,2017-06-08 21:10:14
22,22,12,PURCHASE,2017-03-06 13:50:16
23,23,12,PURCHASE,2017-05-18 11:05:13
24,24,12,PURCHASE,2018-02-22 20:55:51
25,25,21,PURCHASE,2018-01-11 17:13:27
26,26,12,PURCHASE,2018-08-13 12:05:14
27,27,12,PURCHASE,2018-01-26 14:16:42
28,28,16,PURCHASE,2017-02-07 22:08:40
29,29,12,PURCHASE,2018-01-17 19:45:31
30,30,12,PURCHASE,2018-08-08 14:10:21
31,31,12,PURCHASE,2018-07-03 10:31:02
32,32,12,PURCHASE,2018-05-07 19:31:12
33,33,12,PURCHASE,2017-01-16 22:23:11
34,34,20,PURCHASE,2018-01-26 16:13:10
35,35,12,PURCHASE,2018-05-16 23:11:15
36,36,14,PURCHASE,2017-08-21 03:25:22
37,37,12,PURCHASE,2017-12-11 09:01:57
38,38,13,PURCHASE,2018-05-25 19:12:49
39,39,14,PURCHASE,2018-02-02 16:31:39
40,40,20,PURCHASE,2018-01-11 15:54:33
41,41,12,PURCHASE,2017-04-27 13:10:48
42,42,13,PURCHASE,2017-12-18 11:12:00
43,43,12,PURCHASE,2017-07-06 17:10:19
44,44,12,PURCHASE,2016-10-15 15:09:06
45,45,13,PURCHASE,2017-04-13 02:05:17
46,46,12,PURCHASE,2017-07-21 15:33:32
47,47,86,PURCHASE,2017-05-19 02:50:23
48,48,14,PURCHASE,2017-06-02 20:15:19
49,49,12,PURCHASE,2016-10-10 07:46:47
