id,order_id,product_id,quantity,price
1,85268,25866,1,58.9
2,71854,27231,1,239.9
3,6299,22625,1,199.0
4,22551,15404,1,12.99
5,5248,8863,1,199.9
6,69450,3940,1,21.9
7,98567,22293,1,19.9
8,47317,6975,1,810.0
9,92214,2714,1,145.95
10,83216,28256,1,53.99
11,47814,14395,1,59.99
12,27413,23294,1,45.0
13,22540,9662,1,74.0
14,53958,4599,1,49.9
15,53958,4599,1,49.9
16,46177,1132,1,99.9
17,42592,9419,1,639.0
18,97104,30286,1,144.0
19,99376,1403,1,99.0
20,35599,2781,1,25.0
21,33328,24602,1,47.9
22,35003,7116,1,21.99
23,87049,16625,1,119.99
24,81479,27298,1,49.0
25,12055,26773,1,48.9
26,14035,16956,1,219.9
27,77724,26859,1,289.0
28,523,13502,1,109.9
29,30024,25990,1,27.9
30,42299,4764,1,119.9
31,91676,12044,1,397.0
32,98320,21860,1,59.9
33,36266,21359,1,21.33
34,36266,21359,1,21.33
35,36266,21359,1,21.33
36,42418,16475,1,16.5
37,7813,16580,1,21.9
38,91313,26349,1,39.0
39,75113,28534,1,49.75
40,71320,20794,1,809.1
41,21511,6238,1,99.99
42,80441,21860,1,59.9
43,26977,26488,1,24.89
44,26977,26488,1,24.89
45,26977,26488,1,24.89
46,96458,4519,1,54.0
47,16139,20491,1,81.99
48,2491,21689,1,99.0
49,42206,20437,1,18.99
50,42206,20437,1,18.99
51,93406,25461,1,38.33
52,21602,15669,1,69.9
53,61010,28687,1,195.0
54,11835,31814,1,35.9
55,6584,6914,1,79.5
56,12567,19480,1,29.99
57,66528,23429,1,109.9
58,35072,15720,1,74.9
59,39479,13188,1,14.95
60,55679,9010,1,149.9
61,40221,9697,1,19.99
62,16610,2759,1,390.0
63,60617,14757,1,135.0
64,62599,18861,1,104.0
65,54137,21005,1,149.0
66,68933,32438,1,279.9
67,86771,17682,1,44.9
68,50400,12234,1,37.99
69,99042,12292,1,29.99
70,9465,17613,1,120.0
71,10775,14260,1,492.75
72,16061,9275,1,94.9
73,33771,20702,1,88.34
74,68205,14036,1,199.99
75,21066,19820,1,99.9
76,55633,25446,1,78.0
77,55633,25446,1,78.0
78,83778,20462,1,155.0
79,2890,20614,1,249.9
80,44055,21285,1,53.98
81,75760,24292,1,8.99
82,75760,24601,1,44.9
83,64889,8681,1,60.6
84,73379,14166,1,225.0
85,85229,28554,1,39.9
86,55596,11487,1,76.0
87,93230,7508,1,159.0
88,81378,14058,1,102.9
89,81378,14058,1,102.9
90,77416,9300,1,63.9
91,11157,15802,1,168.8
92,12842,3403,1,59.9
93,12842,21087,1,59.9
94,67195,16893,1,232.75
95,3819,21951,1,48.9
96,91212,25503,1,87.0
97,69892,31656,1,131.9
98,73861,32841,1,19.9
99,9474,25810,1,136.99
100,65646,32184,1,399.99
101,82907,31685,1,41.0
102,34190,26610,1,69.0
103,34190,26610,1,69.0
104,43260,12688,1,169.9
105,61767,17206,1,119.0
106,33882,12808,1,39.9
107,87283,3287,1,85.0
108,92876,23831,1,220.0
109,56449,6370,1,277.0
110,97663,13985,1,66.99
111,24421,22808,1,14.0
112,67517,2796,1,85.0
113,67517,2796,1,85.0
114,10479,27116,1,229.0
115,64547,794,1,99.9
116,83421,26253,1,84.9
117,7714,30094,1,189.0
118,26244,195,1,49.0
119,85920,1224,1,37.9
120,43216,22682,1,179.93
121,10180,24354,1,116.9
122,47316,22986,1,94.9
123,92359,21727,1,121.99
124,24614,12614,1,7.79
125,2340,15493,1,179.99
126,47264,25315,1,7.6
127,44284,30294,1,49.9
128,84908,3176,1,110.32
129,12040,6519,1,49.0
130,50534,7835,1,159.9
131,88561,19197,1,120.0
132,16048,8406,1,21.5
133,24733,29569,1,122.99
134,32574,26301,1,72.99
135,91061,1556,1,129.99
136,97223,21689,1,92.0
137,97223,21689,1,92.0
138,19333,9225,1,33.89
139,19333,9225,1,33.89
140,19333,9225,1,33.89
141,19333,9225,1,33.89
142,30294,8291,1,149.0
143,36218,30675,1,20.3
144,188,28623,1,179.9
145,188,28623,1,179.9
146,68372,18350,1,109.9
147,68689,24505,1,89.0
148,24569,26653,1,120.0
149,67832,11535,1,75.0
150,10465,10513,1,46.86
151,79111,9945,1,96.0
152,26576,32825,1,49.99
153,26576,24990,1,24.99
154,26576,24990,1,24.99
155,76189,27233,1,120.1
156,16109,25925,1,69.9
157,41514,14854,1,39.9
158,19415,10030,1,159.9
159,33461,24881,1,540.0
160,51191,26857,1,189.9
161,35612,22482,1,14.9
162,56805,13981,1,43.9
163,52993,14697,1,139.0
164,15461,15300,1,40.35
165,72791,962,1,469.0
166,16673,19029,1,59.0
167,63212,4223,1,35.9
168,63212,4223,1,35.9
169,45413,25121,1,96.99
170,6925,21396,1,77.9
171,93439,20351,1,229.99
172,98643,245,1,56.0
173,78218,2023,1,69.99
174,1484,24441,1,49.9
175,94470,29849,1,14.0
176,85452,12124,1,29.0
177,61928,11025,1,99.0
178,65606,22975,1,499.0
179,44206,18388,1,39.85
180,22997,1130,1,149.0
181,22169,12925,1,179.98
182,58142,27176,1,219.99
183,84450,4951,1,129.0
184,68674,25794,1,137.0
185,48708,23025,1,37.0
186,51904,32735,1,154.0
187,61430,28809,1,253.52
188,83829,19748,1,49.9
189,33539,18109,1,148.9
190,57644,329,1,64.9
191,17053,18867,1,179.0
192,44123,21629,1,27.9
193,99252,17916,1,39.0
194,89148,3494,1,7.0
195,52375,15389,1,269.0
196,11766,5878,1,99.9
197,12376,22572,1,69.9
198,49358,547,1,89.9
199,11954,15126,1,165.0
200,54432,30223,1,57.99
201,82874,15840,1,259.0
202,5844,3255,1,55.0
203,54760,6687,1,133.0
204,71660,1054,1,35.9
205,40112,24625,1,14.89
206,24035,31104,1,99.0
207,16168,9355,1,90.0
208,84140,17716,1,43.49
209,40027,16302,1,109.99
210,91277,22725,1,9.99
211,91277,22725,1,9.99
212,64517,6255,1,28.5
213,53338,22125,1,199.0
214,86086,26957,1,135.9
215,80679,25161,1,249.0
216,2497,2576,1,49.99
217,32930,1251,1,38.0
218,73428,10469,1,85.0
219,57871,29654,1,117.3
220,1016,12134,1,99.9
221,1016,5474,1,99.9
222,54787,22739,1,18.0
223,68343,23389,1,11.53
224,60802,4752,1,269.99
225,84430,608,1,89.99
226,98850,23955,1,19.9
227,80210,2398,1,166.9
228,19844,32371,1,133.74
229,66742,8117,1,86.8
230,91517,10439,1,62.0
231,80844,27961,1,158.0
232,80844,24435,1,308.0
233,15793,11335,1,129.0
234,6197,7743,1,143.54
235,70829,12209,1,39.99
236,70829,12209,1,39.99
237,6996,31521,1,49.9
238,48540,20551,1,119.9
239,84866,21220,1,16.9
240,81637,20988,1,29.99
241,16039,21296,1,30.99
242,58358,14346,1,84.99
243,1258,8291,1,149.0
244,96508,4379,1,48.9
245,45100,22652,1,159.49
246,3286,3772,1,249.9
247,17885,1013,1,24.89
248,88468,19773,1,53.99
249,57092,25619,1,15.99
250,7090,13177,1,24.5
251,85903,29878,1,179.0
252,15882,28009,1,37.9
253,47312,17249,1,89.9
254,47312,17249,1,89.9
255,47312,17249,1,89.9
256,15303,20702,1,88.34
257,2717,4069,1,177.9
258,65291,28178,1,32.99
259,60925,13431,1,69.9
260,89194,21394,1,109.9
261,29455,17693,1,52.99
262,39946,23587,1,110.9
263,3726,21894,1,35.9
264,66310,290,1,39.0
265,63186,4851,1,27.9
266,53888,25091,1,579.0
267,90493,2360,1,99.9
268,39409,20726,1,37.0
269,77007,6350,1,116.6
270,40248,6528,1,49.0
271,24644,17056,1,27.9
272,54554,19800,1,65.0
273,54024,290,1,39.9
274,80064,19832,1,105.0
275,97965,31017,1,25.79
276,97965,31017,1,25.79
277,11543,11493,1,146.01
278,83181,21486,1,189.9
279,90119,22401,1,139.65
280,41365,7043,1,59.9
281,9815,252,1,13.65
282,74569,26997,1,31.9
283,79832,29586,1,33.99
284,16347,21493,1,158.9
285,99367,19518,1,47.4
286,27947,663,1,50.0
287,78857,13164,1,59.9
288,68576,15673,1,199.0
289,68576,15673,1,199.0
290,7058,5279,1,69.9
291,76098,27750,1,50.21
292,19053,28709,1,39.9
293,19232,26180,1,24.99
294,71718,5929,1,130.0
295,61992,5823,1,89.99
296,64315,3837,1,69.0
297,24706,712,1,165.5
298,24706,8097,1,175.91
299,24706,11266,1,165.5
300,24706,16282,1,165.5
301,2858,7259,1,98.81
302,55720,23602,1,78.0
303,96150,4424,1,21.8
304,865,32206,1,118.9
305,69548,3086,1,119.8
306,41719,18931,1,45.0
307,27882,17350,1,449.0
308,71440,10854,1,139.85
309,71440,10854,1,139.85
310,52843,22157,1,18.9
311,47379,20519,1,29.9
312,87784,14302,1,39.9
313,26883,11562,1,59.0
314,45262,9079,1,199.0
315,69206,93,1,32.0
316,32808,8910,1,110.0
317,98835,9662,1,79.9
318,62834,29946,1,24.99
319,67320,10572,1,79.0
320,31266,4599,1,59.9
321,9694,18542,1,19.9
322,45437,8729,1,158.0
323,45390,13801,1,1050.61
324,69691,17833,1,106.9
325,81847,19432,1,362.45
326,31676,10552,1,44.55
327,16577,8496,1,14.99
328,16577,8496,1,14.99
329,16577,8496,1,14.99
330,16577,8496,1,14.99
331,45765,25323,1,125.9
332,20343,4392,1,99.9
333,22768,8291,1,149.0
334,40376,32841,1,19.9
335,73135,3692,1,59.9
336,46663,7132,1,320.0
337,41615,21137,1,59.9
338,32887,6665,1,29.99
339,73438,21165,1,69.0
340,16685,28958,1,56.0
341,7741,8727,1,160.0
342,70765,12782,1,57.95
343,29379,9812,1,64.9
344,29379,9812,1,64.9
345,49016,30690,1,849.0
346,36075,25188,1,20.99
347,80520,32696,1,19.45
348,35239,6998,1,59.9
349,35239,6998,1,59.9
350,43939,25897,1,64.9
351,84542,15745,1,128.9
352,55396,3164,1,189.9
353,91516,9561,1,250.0
354,98019,8958,1,94.9
355,71636,10693,1,27.9
356,71636,10693,1,27.9
357,22791,19053,1,349.9
358,82403,11242,1,110.99
359,76396,8955,1,190.83
360,62526,22161,1,99.5
361,14241,17091,1,104.0
362,53378,19151,1,79.0
363,48329,27877,1,61.99
364,14941,14765,1,419.9
365,94439,26070,1,299.0
366,24912,20487,1,175.0
367,58697,15894,1,49.9
368,42460,24601,1,44.9
369,42460,24601,1,44.9
370,77999,26129,1,38.95
371,54129,10240,1,159.77
372,95856,32610,1,132.9
373,45244,10187,1,36.85
374,88493,32210,1,124.99
375,17020,17593,1,94.99
376,82612,18697,1,32.99
377,81239,3517,1,89.9
378,55938,17204,1,173.0
379,41179,31786,1,44.9
380,87965,32159,1,85.0
381,63289,32099,1,49.9
382,44433,26609,1,54.99
383,43422,13985,1,66.99
384,96959,10287,1,69.99
385,75937,12577,1,268.9
386,54086,14346,1,84.99
387,68864,28572,1,34.99
388,68864,28572,1,34.99
389,68864,28572,1,34.99
390,68864,28572,1,34.99
391,95117,32026,1,77.9
392,77080,2093,1,38.4
393,2934,32889,1,69.0
394,30182,13571,1,134.9
395,58760,3457,1,39.5
396,68184,4126,1,71.0
397,3043,19658,1,225.0
398,46100,27904,1,189.0
399,96040,26028,1,199.0
400,67864,15114,1,35.0
401,67864,15114,1,35.0
402,67864,15114,1,35.0
403,23044,2593,1,49.9
404,88231,19205,1,45.0
405,78671,1882,1,39.97
406,78671,1882,1,39.97
407,78671,1882,1,39.97
408,19896,32139,1,149.0
409,90921,15805,1,51.6
410,95267,31045,1,146.9
411,95189,21396,1,79.9
